Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Gia_trieu,Tuổi xe
Honda,Winner X,2021,45,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,17.0,4
Piaggio,Liberty,2015,12345,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,8.5,10
Benelli,Dòng khác,2018,20000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,68.0,7
Yamaha,Exciter,2014,0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,5.8,11
Honda,Air Blade,2016,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,23.5,9
Yamaha,Dòng khác,2023,13000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,72.0,2
Yamaha,Nouvo,2017,238469,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,2.68,8
Honda,SH,2013,10000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,42.0,12
Honda,Winner X,2020,29600,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,19.0,5
Yamaha,Sirius,2007,66666,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,6.8,18
Honda,SH,2022,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,80.0,3
Honda,SH,2014,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,35.0,11
Honda,CBR,2024,4000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,63.0,1
Hãng khác,Dòng khác,1990,999999,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,2.5,35
Honda,Air Blade,2018,250000,Đã sử dụng,Tay ga,100 - 175 cc,Hàn Quốc,25.5,7
Yamaha,Exciter,2010,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,43.5,15
Piaggio,Vespa,2010,66666,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,6.0,15
Honda,MSX 125,2014,25000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,40.0,11
Honda,Wave,2010,30000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,6.0,15
Detech,Dòng khác,2020,21000,Đã sử dụng,Xe số,Dưới 50 cc,Việt Nam,6.5,5
Piaggio,Liberty,2016,25000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,19.8,9
Yamaha,Mio,2006,480000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,5.4,19
Honda,Air Blade,2008,244,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,8.2,17
Honda,Air Blade,2008,70000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,8.8,17
Honda,Winner,2017,130000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,15.0,8
Honda,Winner,2017,130000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,15.0,8
Honda,CB,2020,13000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,145.0,5
Honda,SH,2020,28000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,68.0,5
Honda,Winner X,2020,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,19.7,5
Yamaha,Luvias,2013,100000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,6.0,12
Piaggio,Liberty,2017,1700,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,29.0,8
Honda,67,2020,12345,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,55.0,5
Honda,Wave,2020,30000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,12.5,5
Honda,Vario,2024,10000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,40.0,1
Piaggio,Vespa,2012,20,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,12.8,13
Yamaha,Nouvo,2010,60,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,4.0,15
Honda,Future,2022,17000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,27.0,3
Honda,Wave,2014,50000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,8.0,11
Piaggio,Primavera,2021,22000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,48.0,4
Yamaha,Exciter,2012,100000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,16.0,13
Honda,Future,2001,10000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,4.0,24
Yamaha,Exciter,2013,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,23.0,12
Honda,Future,2001,22500,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,20.5,24
Honda,Air Blade,2013,105000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,13.0,12
Honda,67,1990,60000,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,36.0,35
Yamaha,Nouvo,2010,6129,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,3.0,15
Yamaha,Janus,2018,123456,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,12.9,7
Yamaha,Jupiter,2004,40000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,5.0,21
Yamaha,Nouvo,2012,40000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,6.7,13
Piaggio,Vespa,2012,56000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,3.0,13
Piaggio,Liberty,2014,15000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,4.5,11
Honda,Air Blade,2013,100,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,17.0,12
Honda,Vision,2017,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,16.89,8
Honda,Air Blade,2009,12389,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,9.8,16
SYM,Attila,2015,48084,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,5.0,10
Honda,Winner X,2019,333333,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,16.1,6
Yamaha,Janus,2018,40000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,15.8,7
Piaggio,Vespa,2010,9999,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,5.6,15
Honda,Wave,2012,45000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,8.0,13
Honda,Winner X,2020,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,14.5,5
Honda,Wave,2018,6666,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,4.0,7
Honda,Dream,2015,100,Đã sử dụng,Xe số,50 - 100 cc,Hàn Quốc,13.0,10
Honda,MSX 125,2017,37000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,23.0,8
Honda,Vario,2018,40000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,43.5,7
Harley Davidson,48,2020,1485,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Mỹ,350.0,5
Honda,Wave,2008,86000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,12.8,17
Yamaha,Exciter,2020,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,27.0,5
Honda,Air Blade,2020,104000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,43.0,5
Honda,PCX,2012,75000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,18.5,13
Honda,Vario,2019,56300,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,34.0,6
Honda,Lead,2014,35000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,13.5,11
Honda,SH Mode,2024,10,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,69.0,1
Honda,SH,2006,48000,Đã sử dụng,Tay ga,100 - 175 cc,Mỹ,59.0,19
Honda,@,2013,12000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,3.49,12
Honda,Air Blade,2017,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,22.9,8
Honda,CB,2020,17000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Thái Lan,129.0,5
Honda,Future,2019,10000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,30.0,6
Hãng khác,Dòng khác,2010,10000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,2.0,15
Yamaha,R,2019,38000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,28.0,6
Honda,Vario,2016,30,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,49.0,9
Honda,SH,2024,3000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,104.0,1
Honda,Wave,2009,45,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,5.6,16
Yamaha,Sirius,2015,56000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,7.5,10
SYM,Joyride,2011,2000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,4.0,14
Honda,Air Blade,2008,35000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.3,17
Honda,Wave,2007,40000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,8.5,18
Honda,Air Blade,2008,26868,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,7.2,17
Honda,Future,2010,63333,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,37.0,15
Honda,SH,2018,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,70.0,7
Honda,Wave,2007,24500,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,14.3,18
Yamaha,Exciter,2016,3400,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,11.5,9
Honda,Air Blade,2021,31000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,24.0,4
Piaggio,Vespa,2018,3000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,6.0,7
Yamaha,Jupiter,2013,123456,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,9.8,12
Honda,Future,2008,80000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,18.0,17
Honda,SH,2012,20000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,139.0,13
Hãng khác,Dòng khác,2006,10000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,7.5,19
Honda,Vario,2022,25800,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,38.0,3
Honda,Winner X,2023,28000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,19.0,2
Honda,SH,2015,25000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,53.0,10
Honda,Future,2000,22500,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,22.5,25
Honda,Future,2008,40000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,42.0,17
Honda,Wave,2010,10000,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,2.2,15
Honda,Dòng khác,2001,20,Đã sử dụng,Tay ga,50 - 100 cc,Nhật Bản,21.0,24
Honda,Winner X,2021,50000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,20.0,4
Honda,Future,2016,25465,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,16.0,9
Honda,Wave,2018,50000,Đã sử dụng,Xe số,100 - 175 cc,Nước khác,15.999999,7
Honda,Air Blade,2014,17300,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,1.65,11
Piaggio,Fly,2014,34000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,8.0,11
Yamaha,NM-X,2019,25000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,32.0,6
Honda,Dòng khác,2008,24000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,320.0,17
Hãng khác,Dòng khác,2018,3200,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,3.0,7
Honda,Air Blade,2011,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.4,14
Kawasaki,Z1000,2016,40000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,182.0,9
Yamaha,Nouvo,2012,700000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,7.5,13
Honda,Wave,2014,31000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,9.0,11
Honda,Lead,2018,23,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,22.5,7
Honda,Future,2001,44612,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,8.0,24
Honda,Wave,2002,96358,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,11.5,23
Honda,Vision,2020,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,25.0,5
Yamaha,Exciter,2017,49000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,18.0,8
Yamaha,Sirius,2013,88000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,7.0,12
Yamaha,R,2020,20474,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,34.9,5
Honda,Dream,1995,1000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,82.0,30
Honda,Dòng khác,2004,80000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,16.0,21
Yamaha,R,2019,38000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,28.5,6
Yamaha,Exciter,2019,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,23.0,6
Yamaha,Exciter,2016,39075,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,12.0,9
Honda,Cub,2007,1956,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,3.0,18
SYM,Elizabeth,2008,12345,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,2.5,17
Honda,SH,2006,55000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,39.0,19
Honda,Citi,1999,12690,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,10.8,26
Honda,Wave,2022,31000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,16.0,3
Yamaha,Sirius,2020,0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,11.8,5
Honda,Wave,2022,32000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,16.0,3
Piaggio,Sprint,2016,40000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,40.0,9
Piaggio,Liberty,2013,47000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,9.0,12
Yamaha,Exciter,2019,1,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,18.0,6
Honda,Lead,2010,72000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,8.0,15
Honda,Air Blade,2008,96322,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,8.0,17
Honda,SH,2006,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,60.0,19
Honda,SH,2018,30000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,68.0,7
Honda,Wave,2016,200,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,1.5,9
Hãng khác,Dòng khác,2000,100,Đã sử dụng,Xe số,50 - 100 cc,Trung Quốc,2.5,25
Honda,Winner,2018,70000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,11.0,7
Honda,Vario,2023,17000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,39.0,2
Yamaha,Jupiter,2022,26000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,20.0,3
Yamaha,Nouvo,2012,9999,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,5.4,13
Honda,Air Blade,2016,80000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,16.0,9
Honda,Dream,1996,100000,Đã sử dụng,Xe số,50 - 100 cc,Thái Lan,9.5,29
Honda,Winner,2018,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,19.5,7
Hãng khác,Dòng khác,2009,50000,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,9.0,16
Yamaha,Exciter,2015,500000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,14.8,10
Honda,Vario,2024,10000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,38.5,1
Yamaha,Exciter,2020,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,37.0,5
Yamaha,Exciter,2019,9000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,30.0,6
Honda,Wave,2022,31000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,16.6,3
Honda,Vision,2014,7000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,8.5,11
Yamaha,Exciter,2012,2000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,16.8,13
Honda,Winner,1999,99999,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Trung Quốc,3.5,26
Yamaha,Nouvo,2011,66000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,4.2,14
Honda,Air Blade,2011,28000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,9.3,14
Honda,Wave,2000,100000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,4.5,25
Honda,Dòng khác,1999,56834,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,4.0,26
Honda,Wave,2022,31000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,16.6,3
Honda,Future,2008,20000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,25.0,17
Suzuki,Dòng khác,2008,12345,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,5.5,17
Honda,Lead,2012,36000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,10.5,13
Honda,Air Blade,2021,10500,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,27.0,4
Suzuki,GN,2013,7404,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,11.0,12
Yamaha,Sirius,2022,9000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,13.0,3
Honda,Wave,2012,10000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,7.5,13
Honda,Winner X,2023,7900,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,29.8,2
Honda,Air Blade,2022,33,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,36.5,3
Hãng khác,Dòng khác,2011,67000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,8.5,14
Hãng khác,Dòng khác,2006,88888,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,3.2,19
Honda,Future,2007,36000,Đã sử dụng,Xe số,50 - 100 cc,Hàn Quốc,4.3,18
Honda,Wave,2002,1000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,12.5,23
Honda,Blade,2024,5500,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,19.0,1
Kawasaki,W175,2019,7000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Thái Lan,46.6,6
Honda,Dream,2012,345678,Đã sử dụng,Xe số,100 - 175 cc,Hàn Quốc,4.8,13
Yamaha,Nouvo,2010,150000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,1.9,15
Kymco,Candy S,2012,123456,Đã sử dụng,Tay ga,Dưới 50 cc,Đang cập nhật,4.0,13
SYM,Elizabeth,2009,9888,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,4.8,16
Honda,SH,2022,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,72.0,3
Honda,Air Blade,2011,10000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,10.0,14
Honda,Dream,2007,12000,Đã sử dụng,Xe số,100 - 175 cc,Trung Quốc,2.3,18
Yamaha,Dòng khác,2019,100000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,25.0,6
Piaggio,Vespa,2012,40000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,16.8,13
Yamaha,Janus,2017,10000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,14.0,8
Yamaha,Mio,2004,45000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,19.5,21
Honda,SH,2023,2000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,70.0,2
Honda,Lead,2014,27000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,18.5,11
Honda,Sonic,2019,2700,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,34.5,6
Honda,SH,2006,40000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,50.0,19
Honda,Lead,2017,13123,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,30.0,8
Honda,Lead,2011,40000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,15.0,14
Honda,Winner,2018,8386,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,14.3,7
Piaggio,LX,2014,38000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,21.0,11
Honda,SH,2017,1400,Đã sử dụng,Tay ga,Trên 175 cc,Nước khác,285.0,8
Yamaha,Dòng khác,2019,130000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nước khác,40.0,6
Honda,SH,2021,20000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,320.0,4
Honda,Lead,2014,90000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,16.0,11
Suzuki,GN,2019,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,37.5,6
Suzuki,GN,2019,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,37.5,6
Kawasaki,W175,2022,15000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,29.0,3
Honda,Vision,2020,28000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,28.5,5
Honda,SH,2010,22000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,96.0,15
Honda,Spacy,2002,15000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,39.0,23
Piaggio,Vespa,2015,0,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam,15.0,10
Honda,Dylan,2004,1234,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,9.5,21
Honda,SH Mode,2015,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,31.0,10
Hãng khác,Dòng khác,2008,40000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,5.5,17
Honda,Winner X,2023,10000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,27.8,2
Honda,Dòng khác,2000,99000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,9.0,25
Honda,Wave,2010,30000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,9.0,15
Piaggio,Vespa,2023,9000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,60.0,2
Honda,Winner X,2021,25316,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,21.0,4
Honda,SH,2009,19000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,60.0,16
Honda,Air Blade,2010,20000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,29.5,15
Piaggio,Sprint,2023,3686,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,59.9,2
Yamaha,Dòng khác,2017,10000,Đã sử dụng,Tay ga,100 - 175 cc,Trung Quốc,3.5,8
Honda,SH,2011,19000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,159.0,14
Yamaha,Exciter,2019,298000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,24.0,6
Honda,Wave,2003,20000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,26.0,22
Honda,Cub,2021,28000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,40.0,4
Honda,Air Blade,2024,1000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,42.0,1
Suzuki,GD,2018,31400,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,23.0,7
Honda,Vision,2022,14673,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,29.5,3
Honda,SH,2009,19000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,60.0,16
Honda,Dòng khác,2010,25000,Đã sử dụng,Tay ga,Dưới 50 cc,Nhật Bản,11.223344,15
Honda,Dòng khác,2011,25000,Đã sử dụng,Tay ga,Dưới 50 cc,Nhật Bản,13.456789,14
Honda,Future,2007,80000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,35.0,18
SYM,EZ,2008,120000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,9.0,17
Piaggio,Vespa,2023,9000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,65.0,2
SYM,Attila,2012,390000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,5.8,13
SYM,Elizabeth,2009,2000,Đã sử dụng,Tay ga,100 - 175 cc,Hàn Quốc,8.0,16
Ducati,Monster,2014,22000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,78.0,11
Honda,Winner X,2023,8000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,29.8,2
Yamaha,Mio,2011,9000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,5.5,14
Honda,Winner X,2025,115,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,38.9,0
Suzuki,Hayate,2008,50000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,3.7,17
Honda,Future,2021,40000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,26.0,4
Honda,Spacy,1994,25000,Đã sử dụng,Tay ga,Trên 175 cc,Nhật Bản,25.0,31
Honda,Winner X,2022,23000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,27.5,3
Honda,PCX,2011,250000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,16.8,14
Honda,SH,2014,43000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,30.0,11
Yamaha,Exciter,2022,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,32.0,3
Honda,Wave,2012,18,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,21.0,13
SYM,Attila,2005,28000,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,2.5,20
Suzuki,Sport / Xipo,1999,6000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,24.5,26
SYM,Attila,2013,40000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,4.6,12
Suzuki,Hayate,2012,790000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,5.8,13
Honda,SH,2002,30000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,38.0,23
Harley Davidson,Dyna,2000,25000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Mỹ,99.999,25
Honda,Spacy,1997,77000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,23.5,28
Honda,Winner X,2020,23145,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,21.0,5
Honda,Wave,2010,7979,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,4.7,15
Honda,Vario,2019,34000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,39.0,6
SYM,Angela,2003,80000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,3.2,22
